description,nick_name,start_time,end_time,run_time,run,data_name,pic_name,pic_id,test_param,param_value,rorschach,curvature,target_curvature,null_curvature,target_variability,null_variability,sample_size,obs_plot_location,response_no,correct,conf_level,choice_reason,participant_count,plot_count
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196475,1606196490,14.40129399,4,3d689aa117d70559b73fe8398f1a44c6,plots/svg/20d0abf28998f59ada75cce6b4999158.svg,21,linear,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,1,1,Neutral,Different range,13,28
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196490,1606196502,11.96012187,4,6a72b42ba970ea6798a886761baf324f,plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg,11,linear,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,17,17,1,Neutral,"Different shape, Different slope",13,18
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196502,1606196513,11.03236127,4,d5c6dd039c67d2cb6771b22aa1c6aaac,plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg,26,log,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,1,1,1,Neutral,"Different shape, Different slope",13,22
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196513,1606196596,83.3444283,4,6a72b42ba970ea6798a886761baf324f,plots/svg/19640c3dc14337740f45aee91eed5803.svg,12,log,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,17,19,0,Neutral,"Clustering, Different shape, Different slope",13,18
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196596,1606196611,14.33156919,4,7ff3391e264e98652cdb6eb8b85088c4,plots/svg/d8dea45d5c5b31523324bc29de32411f.svg,15,linear,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,4,0,Neutral,"Clustering, Different shape, Different slope",13,21
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196611,1606196630,19.15954041,4,7ff3391e264e98652cdb6eb8b85088c4,plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg,16,log,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,8,0,Neutral,"Clustering, Different shape, Different slope",13,22
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196630,1606196643,13.5753243,4,87f34b01f1fce217b6c33e04da081ed0,plots/svg/5ecce62e937c1598e901631b3a1821d2.svg,6,log,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,12,12,1,Neutral,"Clustering, Different shape, Different slope",13,20
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545697,1605545709,11.80726171,5,b79bc1a0fdbb69edc87fe34883a066d6,plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg,32,log,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,12,1,Certain,Different shape,13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545709,1605545718,8.348888397,5,6a72b42ba970ea6798a886761baf324f,plots/svg/19640c3dc14337740f45aee91eed5803.svg,12,log,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,17,17,1,Very Certain,Different shape,13,18
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605545718,1605545758,40.15585375,5,87f34b01f1fce217b6c33e04da081ed0,plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg,5,linear,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,12,6,0,Very Uncertain,Different shape,13,23
