"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
11,"F",-0.214071530810569,0.0638478965091525,Inf,-0.339211108457149,-0.0889319531639896,-0.309442314990934,0.0638066875006695,Inf,-0.434501124465049,-0.18438350551682
11.5,"F",-0.17469224552937,0.0639055681540845,Inf,-0.299944857522945,-0.0494396335357942,-0.31770994309392,0.0638613829523475,Inf,-0.442875953683441,-0.192543932504399
12,"F",-0.13531296024817,0.0639862211302589,Inf,-0.260723649170293,-0.00990227132604693,-0.325977571196906,0.0639378779791444,Inf,-0.451293509283946,-0.200661633109867
12.5,"F",-0.0959336749669706,0.0640897686760188,Inf,-0.221547313349471,0.0296799634155295,-0.334245199299892,0.0640360944583355,Inf,-0.459753638148835,-0.20873676045095
13,"F",-0.056554389685771,0.0642161000399585,Inf,-0.182415632991711,0.0693068536201688,-0.342512827402878,0.0641559326297192,Inf,-0.468256144751706,-0.21676951005405
13.5,"F",-0.0171751044045716,0.0643650810666737,Inf,-0.143328345157253,0.10897813634811,-0.350780455505864,0.0642972715969549,Inf,-0.476800792140086,-0.224760118871642
14,"F",0.022204180876628,0.0645365548978108,Inf,-0.104285142409373,0.148693504162629,-0.35904808360885,0.0644599699282231,Inf,-0.485387303112702,-0.232708864104998
14.5,"F",0.0615834661578276,0.064730342780013,Inf,-0.0652856743979301,0.188452606713585,-0.367315711711836,0.0646438663493572,Inf,-0.494015361577997,-0.240616061845675
15,"F",0.100962751439027,0.0649462449702749,Inf,-0.0263295496338272,0.228255052511882,-0.375583339814822,0.0648487805216953,Inf,-0.502684614078687,-0.248482065550957
15.5,"F",0.140342036720227,0.0651840417283333,Inf,0.0125836625659373,0.268100410874516,-0.383850967917808,0.0650745138961466,Inf,-0.511394671465706,-0.256307264369909
16,"F",0.179721322001426,0.0654434943850372,Inf,0.0514544299843041,0.307988214018548,-0.392118596020794,0.0653208506343866,Inf,-0.520145110703712,-0.264092081337876
16.5,"F",0.219100607282626,0.065724346475175,Inf,0.0902832552838508,0.347917959281401,-0.40038622412378,0.0655875585876714,Inf,-0.528935476789527,-0.271836971458033
17,"F",0.258479892563825,0.0660263249229764,Inf,0.129070673683252,0.387889111444398,-0.408653852226766,0.0658743903235083,Inf,-0.537765284764376,-0.279542419689156
17.5,"F",0.297859177845025,0.0663491412684537,Inf,0.167817250553695,0.427901105136354,-0.416921480329752,0.0661810841903329,Inf,-0.546634021800617,-0.287208938858886
18,"F",0.337238463126224,0.0666924929228856,Inf,0.206523578958176,0.467953347294273,-0.425189108432738,0.0665073654104058,Inf,-0.555541149343778,-0.294837067521697
18.5,"F",0.376617748407424,0.0670560644420638,Inf,0.245190277155982,0.508045219658866,-0.433456736535724,0.0668529471913533,Inf,-0.564486105291134,-0.302427367780313
19,"F",0.415997033688623,0.067439528806394,Inf,0.28381798609374,0.548176081283507,-0.44172436463871,0.0672175318471142,Inf,-0.573468306188728,-0.309980423088692
19.5,"F",0.455376318969823,0.0678425486975529,Inf,0.322407366903215,0.588345271036431,-0.449991992741696,0.0676008119195107,Inf,-0.582487149429603,-0.317496836053789
20,"F",0.494755604251023,0.0682647777621255,Inf,0.360959098424626,0.628552110077419,-0.458259620844682,0.0680024712922083,Inf,-0.591542015437129,-0.324977226252234
1,"N",0.923559229985073,0.0648568349997603,Inf,0.796442169234286,1.05067629073586,0.324898269304986,0.0647638376414885,Inf,0.197963480027069,0.451833058582903
1.5,"N",0.895178825478303,0.0646818956568441,Inf,0.768404639539111,1.0219530114175,0.329756289922706,0.06459781012513,Inf,0.203146908597294,0.456365671248118
2,"N",0.866798420971533,0.0645165183782379,Inf,0.740348368542271,0.993248473400796,0.334614310540426,0.0644408781047045,Inf,0.20831251032307,0.460916110757783
2.5,"N",0.838418016464764,0.064360776874165,Inf,0.712273211774382,0.964562821155145,0.339472331158147,0.0642931081833984,Inf,0.213460154664549,0.465484507651745
3,"N",0.810037611957994,0.0642147412542673,Inf,0.684179031823071,0.935896192092916,0.344330351775867,0.0641545636715948,Inf,0.21858971753566,0.470070986016075
3.5,"N",0.781657207451224,0.0640784778780586,Inf,0.656065698626082,0.907248716276365,0.349188372393588,0.0640253044579798,Inf,0.223701081556735,0.47467566323044
4,"N",0.753276802944454,0.0639520492110699,Inf,0.627933089753224,0.878620516135684,0.354046393011308,0.0639053868857319,Inf,0.228794136297175,0.479298649725441
4.5,"N",0.724896398437684,0.0638355136873766,Inf,0.599781090675812,0.850011706199556,0.358904413629028,0.0637948636343623,Inf,0.233868778507034,0.483940048751022
5,"N",0.696515993930914,0.063728925579185,Inf,0.571609595022278,0.82142239283955,0.363762434246749,0.0636937836077624,Inf,0.238924912336447,0.488599956157051
5.5,"N",0.668135589424144,0.0636323348741287,Inf,0.543418504818659,0.792852674029628,0.368620454864469,0.0636021918289912,Inf,0.243962449541839,0.493278460187099
6,"N",0.639755184917374,0.0635457871609056,Inf,0.515207730712751,0.764302639121996,0.373478475482189,0.0635201293423186,Inf,0.248981309677919,0.49797564128646
6.5,"N",0.611374780410604,0.0634693235238479,Inf,0.486977192180741,0.735772368640467,0.37833649609991,0.0634476331230073,Inf,0.253981420274505,0.502691571925315
7,"N",0.582994375903834,0.0634029804469832,Inf,0.45872681771525,0.707261934092418,0.38319451671763,0.0633847359952878,Inf,0.258962716997286,0.507426316437974
7.5,"N",0.554613971397064,0.0633467897280998,Inf,0.430456544993756,0.678771397800371,0.388052537335351,0.0633314665589445,Inf,0.263925143791717,0.512179930878985
8,"N",0.526233566890294,0.0633007784032831,Inf,0.402166321026508,0.65030081275408,0.392910557953071,0.0632878491248899,Inf,0.268868653009282,0.51695246289686
8.5,"N",0.497853162383524,0.0632649686823357,Inf,0.373856102283092,0.621850222483956,0.397768578570791,0.0632539036600643,Inf,0.273793205515499,0.521743951626084
9,"N",0.469472757876754,0.0632393778954394,Inf,0.345525854796975,0.593419660956534,0.402626599188512,0.0632296457419487,Inf,0.278698770779066,0.526554427597958
9.5,"N",0.441092353369984,0.0632240184513557,Inf,0.317175554247431,0.565009152492537,0.407484619806232,0.0632150865229316,Inf,0.283585326941703,0.531383912670761
10,"N",0.412711948863214,0.0632188978073996,Inf,0.288805186018393,0.536618711708035,0.412342640423952,0.0632102327047202,Inf,0.288452860868305,0.5362324199796
10.5,"N",0.384331544356444,0.063224018451356,Inf,0.260414745233891,0.508248343478998,0.417200661041673,0.0632150865229321,Inf,0.293301368177143,0.541099953906203
11,"N",0.355951139849674,0.0632393778954401,Inf,0.232004236769893,0.479898042929455,0.422058681659393,0.0632296457419497,Inf,0.298130853249945,0.545986510068841
11.5,"N",0.327570735342904,0.0632649686823368,Inf,0.20357367524247,0.451567795443339,0.426916702277114,0.0632539036600658,Inf,0.302941329221818,0.550892075332409
12,"N",0.299190330836134,0.0633007784032845,Inf,0.175123084972346,0.423257576699923,0.431774722894834,0.0632878491248918,Inf,0.307732817951041,0.555816627838627
12.5,"N",0.270809926329364,0.0633467897281016,Inf,0.146652499926054,0.394967352732675,0.436632743512554,0.0633314665589469,Inf,0.312505349968916,0.560760137056193
13,"N",0.242429521822594,0.0634029804469853,Inf,0.118161963634006,0.366697080011183,0.441490764130275,0.0633847359952907,Inf,0.317258964409925,0.565722563850624
13.5,"N",0.214049117315824,0.0634693235238503,Inf,0.089651529085957,0.338446705545692,0.446348784747995,0.0634476331230106,Inf,0.321993708922584,0.570703860573406
14,"N",0.185668712809055,0.0635457871609084,Inf,0.0611212586044263,0.310216167013683,0.451206805365716,0.0635201293423224,Inf,0.326709639561438,0.575703971169993
14.5,"N",0.157288308302285,0.0636323348741318,Inf,0.0325712236967941,0.282005392907775,0.456064825983436,0.0636021918289955,Inf,0.331406820660797,0.580722831306075
15,"N",0.128907903795515,0.0637289255791885,Inf,0.0040015048868717,0.253814302704157,0.460922846601156,0.0636937836077672,Inf,0.336085324690845,0.585760368511468
15.5,"N",0.100527499288745,0.0638355136873805,Inf,-0.0245878084731347,0.225642807050624,0.465780867218877,0.0637948636343676,Inf,0.340745232096872,0.590816502340881
16,"N",0.0721470947819747,0.063952049211074,Inf,-0.0531966184092635,0.197490807973213,0.470638887836597,0.0639053868857376,Inf,0.345386631122453,0.595891144550741
16.5,"N",0.0437666902752047,0.0640784778780631,Inf,-0.0818248185499456,0.169358199100355,0.475496908454317,0.064025304457986,Inf,0.350009617617453,0.600984199291182
17,"N",0.0153862857684348,0.0642147412542722,Inf,-0.110472294366497,0.141244865903367,0.480354929072038,0.0641545636716014,Inf,0.354614294831817,0.606095563312258
17.5,"N",-0.0129941187383352,0.0643607768741702,Inf,-0.139138923428727,0.113150685952057,0.485212949689758,0.0642931081834054,Inf,0.359200773196146,0.61122512618337
18,"N",-0.041374523245105,0.0645165183782434,Inf,-0.167824575674379,0.0850755291841686,0.490070970307479,0.064440878104712,Inf,0.363769170090107,0.61637277052485
18.5,"N",-0.0697549277518752,0.06468189565685,Inf,-0.196529113691079,0.0570192581873284,0.494928990925199,0.064597810125138,Inf,0.368319609599772,0.621538372250626
19,"N",-0.0981353322586451,0.0648568349997665,Inf,-0.225252393009444,0.028981728492154,0.499787011542919,0.0647638376414969,Inf,0.372852222264986,0.626721800820853
19.5,"N",-0.126515736765415,0.0650412592507259,Inf,-0.25399426240597,0.000962788875140341,0.50464503216064,0.0649388908911965,Inf,0.377367144817918,0.631922919503361
