"participantID","nick_name","study_starttime","age","gender","academic_study","recruitment","plotID","start_time","end_time","parm_id","x","y","ydrawn","yloess","residualdrawn","residualloess","ypca"
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",12.75,5.848162,5.591976,5.60204770825904,-0.256186,-0.246114291740962,6.02628811043367
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",13,5.999035,5.821033,5.79550370367455,-0.178002,-0.203531296325448,6.19340935066191
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",13.25,6.149908,6.050089,5.98963284800083,-0.0998190000000001,-0.160275151999169,6.36053059089016
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",13.5,6.300782,6.164618,6.18450679911902,-0.136164,-0.116275200880981,6.5276518311184
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",13.75,6.451655,6.279146,6.38019721491025,-0.172509,-0.0714577850897458,6.69477307134664
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",14,6.602528,6.508203,6.57677575325568,-0.0943250000000004,-0.0257522467443199,6.86189431157489
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",14.25,6.753402,6.794523,6.77431407203644,0.0411209999999995,0.0209120720364355,7.02901555180313
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",14.5,6.904275,6.851787,6.97288382913367,-0.0524880000000003,0.0686088291336659,7.19613679203137
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",14.75,7.055148,7.080844,7.17255668242851,0.0256959999999999,0.117408682428508,7.36325803225962
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",15,7.206022,7.195372,7.3734042898021,-0.01065,0.167382289802105,7.53037927248786
