"parm_id","x","participantID","ols.pred","ols.lower","ols.upper","pca.pred","pca.lower","pca.upper"
"S",8.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.550093088631826,-0.782218288492981,-0.317967888770671,-0.531233166402196,-0.743622945333857,-0.318843387470534
"S",9,"07b99df3c1c4c28454a3b1cce128a1b5",-0.518132207728508,-0.754874899926969,-0.281389515530047,-0.505550271914662,-0.721603725670099,-0.289496818159224
"S",9.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.481415683157617,-0.722873062559126,-0.239958303756109,-0.475101208066026,-0.694883671564505,-0.255318744567547
"S",10,"07b99df3c1c4c28454a3b1cce128a1b5",-0.441773382347887,-0.688128046742467,-0.195418717953308,-0.441722816641544,-0.665396312389927,-0.218049320893161
"S",10.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.401115332286294,-0.652604340792566,-0.149626323780022,-0.407329950184866,-0.635119931827504,-0.179539968542229
"S",11,"07b99df3c1c4c28454a3b1cce128a1b5",-0.361169942103141,-0.617952365515304,-0.104387518690978,-0.373652947606118,-0.605702476436148,-0.141603418776089
"S",11.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.323309473458623,-0.585449272815099,-0.0611696741021474,-0.342063705592213,-0.578413555646151,-0.105713855538275
"S",12,"07b99df3c1c4c28454a3b1cce128a1b5",-0.288485529240907,-0.556074256766926,-0.0208968017148887,-0.313512651017409,-0.55423631786051,-0.0727889841743085
"S",12.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.257264545198874,-0.530483011357945,0.0159539209601962,-0.288565861101603,-0.533838237897881,-0.0432934843053246
"S",13,"07b99df3c1c4c28454a3b1cce128a1b5",-0.229930002831855,-0.508949508151857,0.0490895024881465,-0.267508339863097,-0.517496354665164,-0.0175203250610298
"S",13.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.206608623570046,-0.491494138364344,0.0782768912242532,-0.250470285523576,-0.505224564485188,0.00428399343803665
"S",14,"07b99df3c1c4c28454a3b1cce128a1b5",-0.1873814715073,-0.478158566533228,0.103395623518627,-0.237537261391645,-0.497065914299258,0.0219913915159685
"S",14.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.172353488966572,-0.469134953018498,0.124427975085354,-0.228818157673701,-0.493228227496642,0.0355919121492409
"S",15,"07b99df3c1c4c28454a3b1cce128a1b5",-0.161671050328147,-0.46463476351808,0.141292662861787,-0.224461110183203,-0.493934409072355,0.0450121887059491
"S",15.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.155491937242801,-0.464737807924262,0.15375393343866,-0.224622360639456,-0.499255034791276,0.0500103135123639
"S",16,"07b99df3c1c4c28454a3b1cce128a1b5",-0.153922883094708,-0.469444626952675,0.161598860763259,-0.229403597795609,-0.509173623628603,0.0503664280373856
"S",16.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.156945605585924,-0.4787817086391,0.164890497467252,-0.238778792649655,-0.523715368392404,0.0461577830930928
"S",17,"07b99df3c1c4c28454a3b1cce128a1b5",-0.164353385669764,-0.49267726271428,0.163970491374753,-0.252532380931077,-0.542818127181228,0.0377533653190738
"S",17.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.175717501853501,-0.510690446156955,0.159255442449952,-0.270227680128706,-0.566033141128512,0.0255777808711007
"S",18,"07b99df3c1c4c28454a3b1cce128a1b5",-0.190396843535073,-0.532007142742744,0.151213455672597,-0.291218350669315,-0.59251896176404,0.010082260425411
"S",18.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.207595416821383,-0.555845152081413,0.140654318438647,-0.314707128229105,-0.621492301678458,-0.00792195477975194
"S",19,"07b99df3c1c4c28454a3b1cce128a1b5",-0.226462202321373,-0.581843008853311,0.128918604210565,-0.339845911468805,-0.652657363398672,-0.027034459538939
"S",19.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.246217639382454,-0.609957215511566,0.117521936746657,-0.365861252723747,-0.686074161519658,-0.0456483439278353
"S",20,"07b99df3c1c4c28454a3b1cce128a1b5",-0.266283263494229,-0.640033441385409,0.10746691439695,-0.392181695727639,-0.721650341570699,-0.0627130498845783
"V",0,"07b99df3c1c4c28454a3b1cce128a1b5",0.439279462291101,-0.516396794698597,1.3949557192808,1.1284884839018,0.171216659859716,2.08576030794388
